category,symbol,name,address,depth,reviewLevel,status,latencyMs,error,responseBytes,responseMode,customerDataStatus,customerRiskScore,customerConfidence,providerCoverage,releaseReadiness,commercialCheckoutAllowed,commercialProSellReady,commercialAdvancedSellReady,commercialTopBlocker,entitlementOk,assessmentVerdict,assessmentConfidenceCap,assessmentMissingCount,canonicalHash,rawPath
audit,mkr,Maker,0x9f8F72aA9304c8B593d555F12ef6589cC3A579A2,advanced,advanced_review,422,2613,,1080,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,92378805c186566107d44c4b328df19c0c23ea7c16563cd0f791c3913a2c5d55,evaluation/raw/audit/mkr-advanced.json.gz
audit,mkr,Maker,0x9f8F72aA9304c8B593d555F12ef6589cC3A579A2,basic,basic_review,200,2645,,9155,customer_compact,insufficient_data,,0,0/7 live-or-partial lanes,90,True,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,needs_evidence,54,2,b578b84b95b0aa5be24ec9bea8cef003910ffb9883054d3d336573fc8985b601,evaluation/raw/audit/mkr-basic.json.gz
audit,mkr,Maker,0x9f8F72aA9304c8B593d555F12ef6589cC3A579A2,pro,pro_review,422,2613,,1075,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,fc92c4590a1fb7547dfe5dd7ba84b391f24fb5e13b0d161d377b9b0603839767,evaluation/raw/audit/mkr-pro.json.gz
audit,shib,Shiba Inu,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,advanced,advanced_review,422,2614,,1080,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,3c56faeb08c625222a83047cc9d80143bf71aacbf82b0a7e51dca9ed2af87aad,evaluation/raw/audit/shib-advanced.json.gz
audit,shib,Shiba Inu,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,basic,basic_review,200,2634,,9175,customer_compact,insufficient_data,,0,0/7 live-or-partial lanes,90,True,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,needs_evidence,54,2,b578b84b95b0aa5be24ec9bea8cef003910ffb9883054d3d336573fc8985b601,evaluation/raw/audit/shib-basic.json.gz
audit,shib,Shiba Inu,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,pro,pro_review,422,2668,,1075,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,e10415dea3405ffcd2810a5ee20a46685948c6c4451f6b6f8c5f993f49169f67,evaluation/raw/audit/shib-pro.json.gz
audit,uni,Uniswap,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,advanced,advanced_review,422,2618,,1080,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,3c56faeb08c625222a83047cc9d80143bf71aacbf82b0a7e51dca9ed2af87aad,evaluation/raw/audit/uni-advanced.json.gz
audit,uni,Uniswap,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,basic,basic_review,200,2628,,9165,customer_compact,insufficient_data,,0,0/7 live-or-partial lanes,90,True,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,needs_evidence,54,2,b578b84b95b0aa5be24ec9bea8cef003910ffb9883054d3d336573fc8985b601,evaluation/raw/audit/uni-basic.json.gz
audit,uni,Uniswap,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,pro,pro_review,422,2678,,1075,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,e10415dea3405ffcd2810a5ee20a46685948c6c4451f6b6f8c5f993f49169f67,evaluation/raw/audit/uni-pro.json.gz
audit,usdc,USD Coin,0xA0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,advanced,advanced_review,422,2612,,1080,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,92378805c186566107d44c4b328df19c0c23ea7c16563cd0f791c3913a2c5d55,evaluation/raw/audit/usdc-advanced.json.gz
audit,usdc,USD Coin,0xA0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,basic,basic_review,200,2637,,9170,customer_compact,insufficient_data,,0,0/7 live-or-partial lanes,90,True,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,needs_evidence,54,2,b578b84b95b0aa5be24ec9bea8cef003910ffb9883054d3d336573fc8985b601,evaluation/raw/audit/usdc-basic.json.gz
audit,usdc,USD Coin,0xA0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,pro,pro_review,422,2615,,1075,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,fc92c4590a1fb7547dfe5dd7ba84b391f24fb5e13b0d161d377b9b0603839767,evaluation/raw/audit/usdc-pro.json.gz
audit,usdt,Tether USD,0xdAC17F958D2ee523a2206206994597C13D831ec7,advanced,advanced_review,422,2615,,1080,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,92378805c186566107d44c4b328df19c0c23ea7c16563cd0f791c3913a2c5d55,evaluation/raw/audit/usdt-advanced.json.gz
audit,usdt,Tether USD,0xdAC17F958D2ee523a2206206994597C13D831ec7,basic,basic_review,200,2710,,9180,customer_compact,insufficient_data,,0,0/7 live-or-partial lanes,90,True,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,needs_evidence,54,2,7c73bb0d14e3405affac4842a39efed5b36092ae366ee006f741b95690c1123a,evaluation/raw/audit/usdt-basic.json.gz
audit,usdt,Tether USD,0xdAC17F958D2ee523a2206206994597C13D831ec7,pro,pro_review,422,2619,,1075,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,0db294025b2c63b0227d66ab90eb59cc6c11fdcbf7a8a36fc4d273be2e23d747,evaluation/raw/audit/usdt-pro.json.gz
audit,weth,Wrapped Ether,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,advanced,advanced_review,422,2615,,1080,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,92378805c186566107d44c4b328df19c0c23ea7c16563cd0f791c3913a2c5d55,evaluation/raw/audit/weth-advanced.json.gz
audit,weth,Wrapped Ether,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,basic,basic_review,200,2629,,9195,customer_compact,insufficient_data,,0,0/7 live-or-partial lanes,90,True,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,needs_evidence,54,2,b578b84b95b0aa5be24ec9bea8cef003910ffb9883054d3d336573fc8985b601,evaluation/raw/audit/weth-basic.json.gz
audit,weth,Wrapped Ether,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,pro,pro_review,422,2616,,1075,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,fc92c4590a1fb7547dfe5dd7ba84b391f24fb5e13b0d161d377b9b0603839767,evaluation/raw/audit/weth-pro.json.gz
